file	avg_base_quality
07_08_24_PLJUL04_R1__E0000000__X00__240712_2_SG_WW__001.trimmed.sorted.bam	38.0
07_08_24_PLJUN30_R1__E0000000__X00__240712_2_SG_WW__001.trimmed.sorted.bam	37.9
07_08_24_SBJUL04_R2__E0000000__X00__240712_2_SG_WW__001.trimmed.sorted.bam	37.9
07_08_24_SBJUL07_R2__E0000000__X00__240712_2_SG_WW__001.trimmed.sorted.bam	37.9
07_15_24_ENCJUL09_R2__E0000000__X00__240718_SG_WW__001.trimmed.sorted.bam	38.0
07_15_24_ENCJUL10_R1__E0000000__X00__240718_SG_WW__001.trimmed.sorted.bam	37.9
07_15_24_PLJUL07_R1__E0000000__X00__240718_SG_WW__001.trimmed.sorted.bam	38.0
07_15_24_PLJUL08_R2__E0000000__X00__240718_SG_WW__001.trimmed.sorted.bam	38.0
07_15_24_PLJUL09_R1__E0000000__X00__240718_SG_WW__001.trimmed.sorted.bam	37.9
07_15_24_PLJUL10_R1__E0000000__X00__240718_SG_WW__001.trimmed.sorted.bam	37.9
07_15_24_SBJUL11_R1__E0000000__X00__240718_SG_WW__001.trimmed.sorted.bam	37.9
07_15_24_SBJUL14_R2__E0000000__X00__240718_SG_WW__001.trimmed.sorted.bam	37.9
07_22_24_ENCJUL17_R1__E0000000__X00__240729_SG_WW__001.trimmed.sorted.bam	37.5
07_22_24_ENCJUL18_R1__E0000000__X00__240729_SG_WW__001.trimmed.sorted.bam	37.5
07_22_24_PLJUL14_R1__E0000000__X00__240729_SG_WW__001.trimmed.sorted.bam	37.5
07_22_24_PLJUL15_R2__E0000000__X00__240729_SG_WW__001.trimmed.sorted.bam	37.6
07_22_24_PLJUL16_R2__E0000000__X00__240729_SG_WW__001.trimmed.sorted.bam	37.5
07_22_24_PLJUL17_R2__E0000000__X00__240729_SG_WW__001.trimmed.sorted.bam	37.5
07_22_24_SBJUL18_R2__E0000000__X00__240729_SG_WW__001.trimmed.sorted.bam	37.6
07_22_24_SBJUL21_R2__E0000000__X00__240729_SG_WW__001.trimmed.sorted.bam	37.5
07_29_24_ENCJUL25_R2__E0000000__X00__240801_SG_WW__001.trimmed.sorted.bam	37.5
07_29_24_ENCJUL26_R1__E0000000__X00__240801_SG_WW__001.trimmed.sorted.bam	37.5
07_29_24_PLJUL21_R1__E0000000__X00__240801_SG_WW__001.trimmed.sorted.bam	37.5
07_29_24_PLJUL22_R1__E0000000__X00__240801_SG_WW__001.trimmed.sorted.bam	37.5
07_29_24_PLJUL23_R2__E0000000__X00__240801_SG_WW__001.trimmed.sorted.bam	37.5
07_29_24_PLJUL24_R2__E0000000__X00__240801_SG_WW__001.trimmed.sorted.bam	37.5
07_29_24_SBJUL23_R1__E0000000__X00__240801_SG_WW__001.trimmed.sorted.bam	37.5
07_29_24_SBJUL25_R1__E0000000__X00__240801_SG_WW__001.trimmed.sorted.bam	37.5
08_05_24_ENCAUG01_R1__E0000000__X00__240808_SG_WW__001.trimmed.sorted.bam	37.6
08_05_24_ENCJUL30_R2__E0000000__X00__240808_SG_WW__001.trimmed.sorted.bam	37.7
08_05_24_PLJUL28_R2__E0000000__X00__240808_SG_WW__001.trimmed.sorted.bam	37.7
08_05_24_PLJUL29_R2__E0000000__X00__240808_SG_WW__001.trimmed.sorted.bam	37.7
08_05_24_PLJUL30_R1__E0000000__X00__240808_SG_WW__001.trimmed.sorted.bam	37.7
08_05_24_PLJUL31_R1__E0000000__X00__240808_SG_WW__001.trimmed.sorted.bam	37.7
08_05_24_SBAUG01_R1__E0000000__X00__240808_SG_WW__001.trimmed.sorted.bam	37.7
08_05_24_SBAUG04_R2__E0000000__X00__240808_SG_WW__001.trimmed.sorted.bam	37.7
08_12_24_ENCAUG06_R2__E0000000__X00__240815_SG_WW__001.trimmed.sorted.bam	37.5
08_12_24_ENCAUG09_R1__E0000000__X00__240815_SG_WW__001.trimmed.sorted.bam	37.5
08_12_24_PLAUG04_R2__E0000000__X00__240815_SG_WW__001.trimmed.sorted.bam	37.5
08_12_24_PLAUG05_R1__E0000000__X00__240815_SG_WW__001.trimmed.sorted.bam	37.6
08_12_24_PLAUG06_R2__E0000000__X00__240815_SG_WW__001.trimmed.sorted.bam	37.5
08_12_24_PLAUG07_R2__E0000000__X00__240815_SG_WW__001.trimmed.sorted.bam	37.5
08_12_24_SBAUG06_R1__E0000000__X00__240815_SG_WW__001.trimmed.sorted.bam	37.5
08_12_24_SBAUG11_R2__E0000000__X00__240815_SG_WW__001.trimmed.sorted.bam	37.5
08_19_24_ENCAUG13_R1__E0000000__X00__240822_SG_WW__001.trimmed.sorted.bam	37.4
08_19_24_ENCAUG15_R2__E0000000__X00__240822_SG_WW__001.trimmed.sorted.bam	37.3
08_19_24_PLAUG11_R1__E0000000__X00__240822_SG_WW__001.trimmed.sorted.bam	37.4
08_19_24_PLAUG12_R1__E0000000__X00__240822_SG_WW__001.trimmed.sorted.bam	37.4
08_19_24_PLAUG13_R1__E0000000__X00__240822_SG_WW__001.trimmed.sorted.bam	37.4
08_19_24_PLAUG14_R1__E0000000__X00__240822_SG_WW__001.trimmed.sorted.bam	37.3
08_19_24_SBAUG13_R2__E0000000__X00__240822_SG_WW__001.trimmed.sorted.bam	37.4
08_19_24_SBAUG15_R1__E0000000__X00__240822_SG_WW__001.trimmed.sorted.bam	37.4
08_26_24_ENCAUG19_R2__E0000000__X00__240829_SG_WW__001.trimmed.sorted.bam	37.3
08_26_24_ENCAUG22_R1__E0000000__X00__240829_SG_WW__001.trimmed.sorted.bam	37.3
08_26_24_ENCAUG23_R2__E0000000__X00__240829_SG_WW__001.trimmed.sorted.bam	37.3
08_26_24_PLAUG18_R2__E0000000__X00__240829_SG_WW__001.trimmed.sorted.bam	37.3
08_26_24_PLAUG19_R2__E0000000__X00__240829_SG_WW__001.trimmed.sorted.bam	37.3
08_26_24_PLAUG20_R2__E0000000__X00__240829_SG_WW__001.trimmed.sorted.bam	37.3
08_26_24_SBAUG20_R2__E0000000__X00__240829_SG_WW__001.trimmed.sorted.bam	37.3
08_26_24_SBAUG22_R2__E0000000__X00__240829_SG_WW__001.trimmed.sorted.bam	37.2
09_03_24_ENCAUG28_R2__E0000000__X00__240906_SG_WW__001.trimmed.sorted.bam	37.2
09_03_24_ENCAUG29_R2__E0000000__X00__240906_SG_WW__001.trimmed.sorted.bam	37.3
09_03_24_PLAUG25_R1__E0000000__X00__240906_SG_WW__001.trimmed.sorted.bam	37.3
09_03_24_PLAUG27_R1__E0000000__X00__240906_SG_WW__001.trimmed.sorted.bam	37.3
09_03_24_PLAUG28_R2__E0000000__X00__240906_SG_WW__001.trimmed.sorted.bam	37.3
09_03_24_SBAUG27_R2__E0000000__X00__240906_SG_WW__001.trimmed.sorted.bam	37.3
